Index,0,1,2,3,4,5,6,7,8,9,10
guano apes,guano apes,limp bizkit,breaking benjamin,hoobastank,rage against the machine,audioslave,him,staind,stone sour,papa roach,three days grace
guns n roses,guns n roses,aerosmith,deep purple,queen,led zeppelin,genesis,volbeat,alanis morissette,him,depeche mode,tori amos
hammerfall,hammerfall,blind guardian,manowar,judas priest,arch enemy,slayer,die apokalyptischen reiter,apocalyptica,iron maiden,ensiferum,finntroll
hans zimmer,hans zimmer,howard shore,queen,frank sinatra,abba,scooter,r.e.m.,aerosmith,elvis presley,dire straits,flogging molly
hatebreed,hatebreed,caliban,chimaira,parkway drive,as i lay dying,heaven shall burn,bring me the horizon,all that remains,machine head,sonic syndicate,killswitch engage
heaven shall burn,heaven shall burn,all that remains,as i lay dying,caliban,chimaira,machine head,trivium,parkway drive,soilwork,hatebreed,killswitch engage
him,him,oomph!,marilyn manson,evanescence,guano apes,nightwish,sonata arctica,hoobastank,schandmaul,lacuna coil,three days grace
hoobastank,hoobastank,three days grace,flyleaf,breaking benjamin,guano apes,lostprophets,nickelback,simple plan,seether,him,papa roach
hot chip,hot chip,the national,joy division,crystal castles,cocorosie,the notwist,beck,mgmt,the postal service,digitalism,beirut
howard shore,howard shore,hans zimmer,dire straits,queen,frank sinatra,dream theater,bob marley & the wailers,abba,porcupine tree,genesis,eric clapton
in extremo,in extremo,subway to sally,schandmaul,nightwish,apocalyptica,blind guardian,rammstein,finntroll,korpiklaani,die apokalyptischen reiter,ensiferum
in flames,in flames,children of bodom,slipknot,disturbed,amon amarth,arch enemy,metallica,soilwork,die apokalyptischen reiter,trivium,rammstein
incubus,incubus,foo fighters,beatsteaks,muse,billy talent,placebo,system of a down,red hot chili peppers,clueso,nirvana,fall out boy
interpol,interpol,editors,modest mouse,bright eyes,death cab for cutie,nada surf,arcade fire,the shins,the national,bloc party,the decemberists
iron maiden,iron maiden,judas priest,blind guardian,motorhead,manowar,slayer,arch enemy,black sabbath,hammerfall,kreator,ac/dc
